French,English
chercher,search
police,police
pensais,thought
aide,help
genre,kind
mois,month
laisser,let
car,because
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
première,first
pouvoir,power
vieux,old
sois,be
tellement,so much
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
